Course Title,Course Description,Course curricullum
Getting Started with Large Language Models,"Embarking on a journey into Large Language Models (LLMs) can be seamless with the right approach. This course offers an optimal pathway to delve into the intricacies of natural language processing and model training.This course will help you gain a comprehensive understanding of Large Language Models (LLMs) and develop advanced natural language processing (NLP) applications using the PyTorch framework. With a carefully curated list of resources and exercises, this course is your guide to becoming an expert in LLMs. Master the techniques to build and fine-tune LLMs, and generate human-like text.

Who Should Enroll: Professionals: Individuals looking to expand their skill set and leverage LLMs across different industries. Aspiring Students: For those setting out on their journey to master language data analysis and leave a mark in the tech world.","1
Introduction
Course Objective
Course Handouts
The Exponential Growth
2
The Evolution of NLP
The Evolution of NLP: Symbolic NLP
The Evolution of NLP: Statistical NLP
The Evolution of NLP: Deep Learning
The Evolution of NLP: Deep Learning Era II
The Evolution of NLP: Tranformers and Evolution
Quiz
3
What are Large Language Models?
Introduction to Large Language Model
What is a Large Language Model?
Understanding Foundational Models
Different types of LLMs: Based on Response
Different types of LLMs: Based on Model Architecture
Quiz
4
The Current State of the Art in LLMs
The Current State of the Art in LLMs
5
Generative AI - Glossary
Generative AI- Glossary
6
Your Feedback Matters!
Your Feedback Matters!"
Introduction to Generative AI,"This course will provide you with a comprehensive understanding of generative AI, including text and image generation techniques. By the end of the course, you will be have an understanding of using generative AI tools to create diverse content.This course will provide you with a comprehensive understanding of generative AI, including text and image generation techniques. By the end of the course, you will be have an understanding of using generative AI tools to create diverse content. You'll learn how generative AI works, engage in practical exercises, and gain the skills to implement these techniques in real-world projects.

Who Should Enroll:

Professionals: Individuals looking to enhance their skills in generative AI and apply advanced techniques to create innovative solutions across various domains.
Aspiring Students: Individuals eager to enter the field of generative AI and apply generative AI techniques to tackle complex problems and generate creative content across different fields.","Introduction to Generative AI
What is Generative AI
How does Gen AI work
Quiz
Text Generation with Gen AI
Image Generation with Gen AI
Quiz
Meet your Instructors
Course Handout
Your Feedback Matters!"
Exploring Natural Language Processing (NLP) using Deep Learning,"Natural Language Processing (NLP) is the art of extracting information from unstructured text. This course teaches you the latest developments in Natural Language Processing like BERT, Transformers using PyTorch.Natural Language Processing (NLP) is the hottest field in the data science space right now. The demand for NLP experts and data scientists is through the roof.

We have seen a remarkable rise in the amount of research and breakthroughs in NLP recently. We can trace this recent rise to one (seismic) paper – “Attention is All You Need” by Google AI. This breakthrough has spawned so many new and exciting NLP libraries that enable us to work with text in ways that were previously limited to our imagination (or Hollywood).

These NLP deep learning developments have spawned some mind-boggling applications. We’re sure you’ve already interacted with and used some of them yourself:

Human-level chatbots (dialogue systems like Google Duplex and Meena)
Text generation (Machines writing text from scrtach, such as OpenAI’s GPT-2 model)


Here’s a quick list of the latest Natural Language Processing concepts in deep learning every NLP expert and even enthusiast should know:

Language Modeling
Sequence-to-Sequence Modeling
Attention Mechanism
Transformer Architecture
Transfer Learning in NLP, and much more!


These are key NLP deep learning concepts you should master if you want to successfully navigate through the NLP goldmine.

Why PyTorch for Natural Language Processing (NLP)?
Every once in a while, there comes a library or framework that reshapes and reimagines how we look at the field of deep learning.

We can safely say that PyTorch is on that list of deep learning frameworks. It has helped accelerate the research that goes into deep learning models by making them computationally faster and less expensive (a data scientist’s dream!).

You will love working with PyTorch for NLP tasks like building language models and creating deep learning powered chatbots. You will quickly find yourself leaning on PyTorch’s flexibility and efficiency quite often for NLP.","Recent Developments in NLP

In the past couple of years, the amount of research and breakthroughs in NLP has skyrocketed. Now every month we get to see state-of-the-art NLP models and architectures. 

This incredible rise of NLP can be traced back to the paper – “Attention is All You Need” by Google AI in June 2017. This breakthrough has spawned so many new and exciting NLP models and some key developments are listed below:

Transformer Architecture - It achieved state-of-the-art status on sequence modeling tasks. It can handle long-range dependencies in text with ease

BERT - This architecture by Google took the Transformer a notch higher and achieved state-of-the-art performance in Language Modeling

GPT and GPT 2 - OpenAI’s GPT was state-of-the-art language model till BERT toppled it from the top spot and soon they launched GPT 2 a colossal language model which was trained on many GB’s of text scraped from the web

Transformers Library - This amazing library by Huggingface has democratized the use of Transformers. It has a large number of Transformer based pre-trained models that can also be fine-tuned.



In the modules given below, all the projects will be implemented using PyTorch.



Language Modeling

In this module, you will understand a very important sequence modeling task that is known as language modeling. This is the main ingredient in many modern NLP tasks such as machine translation, text summarization, speech recognition, etc.



Project: Building an Autocomplete System

In this project, you will train a Language Model from scratch and use it to automatically give next word suggestions to an input text. You will use PyTorch to implement this project.



Sequence-to-Sequence Modeling

Once you are familiar with the language model, you will learn about the sequence-to-sequence models wherein both the input and the output are sequences of different lengths. You will also get a thorough understanding of the architecture along with the attention mechanism.



Project: Neural Machine Translation

In this project you will get to apply sequence-to-sequence modeling to build a deep learning model to translate one language to another automatically. 



Transformers and Transfer Learning in NLP

The next step in your journey is the Transformer. In this module, you will understand the Transformers models in detail. You will also learn how Transformers are used to perform transfer learning in NLP. You will get to use the Transformers library by Huggingface.



Project: Text Classification using Transformers

You will fine-tune a pre-trained Transformer model to perform text classification on a new dataset. The domain of the new dataset will be different from that of the dataset on which the Transformer was trained.



Project: Build a Dialog System using RASA

Conversational agents or chatbots have been instrumental in across several industries. In this project you will build a chatbot using RASA, an open source. You will also learn to deploy the chatbot in slack.



Project: Build a Voice Command System

In this project you will not only use text data but audio data as well. The objective of this project is to build a deep learning system to convert a speech input to text. It can be used for tasks such as controlling home automation systems by just a few voice commands.
"
Getting Started with Deep Learning,"What is deep learning? How can you get started with deep learning? This comprehensive course will provide you with everything you need to know about deep learning with Python, including a deep dive into neural networks!Deep learning algorithms are revolutionizing data science industry and disrupting several domains. From computer vision applications to natural language processing (NLP) use cases - every field is benefitting from use of Deep Learning models.

This course starts by assuming no knowledge about Neural Networks and Deep Learning and introduces these subjects to the student one by one.

The course helps you build a deep as well as intuitive understanding of what is Deep Learning, where can Deep Learning Models be applied and then helps you solve several real life problems using Keras and PyTorch frameworks.What kind of problems will you be able to solve?
Fundamentals of Deep Learning teaches how to use Deep Learning to solve a large variety of problems
Image Detection & Classification
Deep Learning is very effective in learning from image data and is showing unprecedented results. This could be smartphones detecting objects to captioning images.

Text Data
Deep Learning is being used to solve several problems with text data including document & article classification, text prediction. You will be able to do that through this course.

Voice Data
Ever wondered what is powering all the virtual assistants we have come to use? Or how do call centers analyze all the calls from their customers?

What will you learn in the Fun","These deep learning algorithms are powered by techniques like Convolutional Neural Networks (CNN), Recurrent Neural Networks (RNN), Long Short Term Memory (LSTM), etc.  

If you’re a beginner in deep learning, or you are looking to hone your existing deep learning and neural network skills, you must have asked these questions:

What is deep learning?

What are the different types of neural networks?

What part do these neural networks play in the deep learning space?

When should you choose convolutional neural networks (CNN) over recurrent neural networks (RNN) - and vice versa?

How can you build deep learning models in Python?

What is forward propagation? And what is backpropagation?

What are the different loss functions in deep learning?

What are the different deep learning frameworks?

TensorFlow vs. PyTorch vs. Keras - which deep learning framework should you choose?

The course is designed to answer all the above questions in an applied first methodology."
Nano Course: Dreambooth-Stable Diffusion for Custom Images,"Theory to Practice: Dive into Stable Diffusion, its history, and significance, then master the Dreambooth process. Learn how to fine-tune Dreambooth model with your custom images discussing step by step in detail.Nano Course: Dreambooth- Stable Diffusion for Custom Images
Have you ever wondered how to turn your dreams into reality by creating images of your dog traveling around the world or yourself alongside Elon Musk or playing cricket with MSD?

This is exactly where the dreambooth model comes into the picture. With the help of Dreambooth, you can personalize the stable diffusion for a particular subject.

Given just 5 images of our subject, dreambooth can create new images across diverse scenes, poses, views, and lighting conditions that do not appear in the reference images.

In this free nano course on Dreambooth, Sandeep will discuss the historical journey of stable diffusion, its current landscape, and a brief understanding of the stable diffusion training process. Then we will move on to the dreambooth, its training process and finetune dreambooth on our custom dataset.","1
Dreambooth-Stable Diffusion for Custom Images
The Current Landscape of Generative AI
Why Stable Diffusion
Recap on History of Stable Diffusion
Intuition behind Stable Diffusion
How to train a Stable Diffusion model
Introduction to Dreambooth
Understanding the Dreambooth Process
Tricks to Name Your Concept Uniquely
How to Select Images for Finetuning Dreambooth
Setting up the Training Environment
Code-Finetuning Dreambooth model on Custom Dataset
The Importance of Captioning in Dreambooth
Differences between Stable Diffusion and Dreambooth"
A Comprehensive Learning Path for Deep Learning in 2023,"Here is a free learning path for people who want to become a Deep Learning expert in 2023.About the course
The most common question we get from beginners in the field of Deep Learning is - Where to begin? The journey to becoming a Deep Learning expert can be difficult if one does not have the right resources to follow. There are a million resources to refer and it is tough to decide where to start from.

We are here to help you take your first steps into the world of Deep Learning. Here is a free learning path for people who want to become a Deep Learning expert in 2023. We have arranged the best resources in a logical manner along with exercises to make sure that you only need to follow one single source to become a data scientist.

Why take this course?
The course is ideal for beginners in the field of Deep Learning. Several features which make it exciting are:

Beginner friendly course
The course assumes no prerequisites and is meant for beginners

Curated list of resources to follow
All the necessary topics are covered in the course, in an orderly manner with links to relevant resources and hackathons.

Pre-requisites
This is a beginner friendly course and has no prerequisites.
","1
January 2023
Getting Started
Overview of the Learning Path
Month-on-Month Plan
Introduction to Deep Learning
Applications of Deep Learning
Setting up your System
Descriptive Statistics and Probability
Python
Exercise : Python
AI&ML Blackbelt Plus Program (Sponsored)
2
February 2023
Start engaging in data science / deep learning communities
Inferential Statistics
Exercise : Statistics
Partial Derivative
Linear Algebra - Part 1
Linear Regression
Logistic Regression
Exercise : Linear and Logistic Regression
Regularization Techniques (Ridge and Lasso)
Project
3
March 2023
Start building your GitHub profile
Start building your GitHub profile
Linear Algebra - Part 2
Getting Started with Neural Networks
Understanding Forward Propagation
Understanding Back Propagation
Exercise : Understanding Neural Networks
Build your first Neural Network in Numpy
Frameworks for Deep Learning
Introduction to Keras
Build your first Neural Network in Keras
Project
4
April 2023
Start Participating in Competitions
Handling / Pre-processing Images
Exercise
Hyperparameter Tuning
Regularization Techniques
Optimization Algorithms
Exercise
Project
5
May 2023
Understanding Convolutional Neural Networks (CNNs)
Exercise : CNNs
Hyperparameter Tuning
Transfer Learning
Data Augmentation
Project
6
June 2023
Build your resume and apply for Internships
Visualizing Convolutional Neural Networks
Project 3 on CV
Project 4 on CV
7
July 2023
Start writing articles
Handling / Pre-processing Text Data
Exercise
Recurrent Neural Networks (RNNs)
RNNs - Video
LSTM
GRUs
Transfer Learning for NLP
Project 1 on NLP
8
August 2023
Word Embeddings
Exercise
Project 2 on NLP
9
September 2023
Attention Models
Attention Models - Text
Project on Attention Models
10
October 2023
Unsupervised Deep Learning
Project on Unsupervised Deep Learning
11
November 2023
GANs : Video
GANs
Project on GANs
12
December 2023
Apply for Jobs and Internships
Way Forward"
A Comprehensive Learning Path to Become a Data Scientist in 2024,"Want to become a data scientist this year, but confused about where to start and what to follow? This comprehensive learning path from Analytics Vidhya should provide you with all the answers you need.About the course
Where do I begin? Data science is such a huge field - where do you even start learning about Data Science?

These are career-defining questions often asked by data science aspirants. There are a million resources out there to refer but the learning journey can be quite exhausting if you don’t know where to start.

Don’t worry, we are here to help you take your first steps into the world of data science! Here’s the learning path for people who want to become a data scientist in 2023. We have arranged and compiled all the best resources in a structured manner so that you have a unified resource to become a successful data scientist.

Moreover, we have added the most in-demand skills for the year 2023 for data scientists including storytelling, model deployment, and much more along with exercises and assignments","Overview of the Learning Path 2024
Overview of Learning Path
Month-on-Month Plan
Your Personalized Learning Path for Data Science
AI&ML Blackbelt Plus Program (Sponsored)
2
January 2024: Data Science Toolkit
Plan for January 2024
Understanding Machine Learning and its impact
Job of Data Scientist
Exercise
Overview of the Course
A brief introduction to Python
Introduction to Python Test
Installing Python
Theory of Operators
Exercise
Understanding Operators in Python
Operators Test
Understanding variables and data types
Variable Test
Variables and Data Types in Python
Understanding Conditional Statements
Exercise
Implementing Conditional Statements in Python
Conditional Statements test
Understanding Looping Constructs
Exercise
Implementing Looping Constructs in Python
Looping Constructs test
Understanding Functions
Implementing Functions in Python
Functions test
A brief introduction to data structure
Data Structure test
Understanding the concept of Lists
Lists test
Implementing Lists in Python
Exercise
Understanding the concept of Dictionaries
Exercise
Implementing Dictionaries in Python
Dictionaries test
Understanding the concept of Standard Libraries
Libraries test
Reading a CSV File in Python - Introduction to Pandas
Reading a CSV file in Python: Implementation
Reading a csv file in Python test
Understanding dataframes and basic operations
DataFrames and basic operations test
Reading dataframes and conduct basic operations in Python
Reading dataframes and conduct basic operations in Python Test
Indexing a Dataframe
Indexing DataFrames test
Exercise
Sorting Dataframes
Merging Dataframes
Quiz: Sorting and Merging dataframes
Apply function
Aggregating data
Quiz: Apply function and Aggregating data
Basics of Matplotlib
Data Visualization using Matplotlib
Quiz: Matplotlib
Basics of Seaborn
Data Visualization using Seaborn
Quiz: Seaborn
Regular Expressions
Understanding Regular Expressions
Quiz: Regular Expressions
Regular Expressions in Python
Quiz: Regular Expressions in Python
Cheatsheet for Python
Instructions
Quiz
Python Coding Challenge
3
February 2024: Data Visualization
The Power of VisualizationFREE PREVIEW
What is Data Visualization and Why Should we Use itFREE PREVIEW
Exercise - Definition of Data Visualization
Hans Rosling - 200 Countries 200 Years 4 MinutesFREE PREVIEW
4 Key Elements of Effective Data VisualizationsFREE PREVIEW
Why Tableau is a Powerful Tool for Professionals
What We Will Cover in this CourseFREE PREVIEW
Compare Tableau Against Power BI and Qlik
The Tableau Range of Products
The 5 Tableau Products you should Know
Installing Tableau Desktop on your System
Installing Tableau Public on your System
Difference Between Tableau Server and Tableau Online
Navigating the Tableau Interface (Part 1)
Navigating the Tableau Interface (Part 2)
Connecting to Data Sources in Tableau
Understanding the Problem Statement
Download the Superstore Dataset
Loading the Dataset and Getting Familiar with the Variables
Build your First Visualization in Tableau!
Hands-On with Labels and Formatting
Playing Around with Colors
Using Filters to Build a Pivot Structure in Tableau
Exporting your Tableau Worksheet
The Different Chart Types in Tableau
Line Charts - Working with Time Series Data
Building Line Charts in Tableau
Exercise - Sales of Each Category Month-by-Month
Generating Map Visualizations for Geospatial Analysis
Map Visualizations in Tableau
Exercise - Sales by City Analysis
Bar Charts, Histograms, Scatter Plots, Bubble Charts, Pie Charts
Dual Axis Charts in Tableau
Date Dual Axis Charts in Tableau
What are Calculated Fields?
Feature Engineering in Tableau - Average Shipping Time
Exercise - Number of Orders per State
Calculating the Average Order Value
Average Order Value for Product Sub-Categories
What are Parameters in Tableau?
Using Parameters to find Top N Customers
Using Parameters to Analyze Superstore's Variable Values
Joins and their Different Types in Tableau
Performing Data Joining in Tableau
What is Blending? How is it Different from Joins?
Blending Data in Tableau
Download the Coffee Chain Dataset
Introduction to Dashboards and their Use Cases
Reading Material - Dashboards in Tableau
Designing your First Dashboard in Tableau
Using Parameters to Create Dynamic Dashboards
How to Upload your Work to the Tableau Public Gallery
Designing the Blueprint for a Multi-Dashboard View to Analyze Sales
Building Multiple Interlinked Dashboards in Tableau for our Business
The Art of Storytelling
3-Step Storytelling Framework
Sketching the Story Blueprint
Profits by Region Analysis using Storyboard in Tableau
Capstone Project: Sales and Profit by Segment using Storyboards in Tableau
Getting started with SQL
IntroductionFREE PREVIEW
Why do we need databases?FREE PREVIEW
What is a database?FREE PREVIEW
Some properties of a Good DatabaseFREE PREVIEW
Types of Databases
How data is Stored in Relational Databases
How data is stored in NoSQL databases
Companies using MySQLFREE PREVIEW
Exercise 1
Introduction
Architecture: Client and Server
MySQL Distributions
Local Installation on Mac
Local Installation on Linux
Local Installation on Windows
Licensing
Accessing a remote MySQL server
Graphical user interfaces
Exercise 2
SQL - Installation Guide
Introduction
What exactly is SQL?
History of SQL
Connecting to MySQL
Types of Commands - DDL (Creation/ Deletion/ Updating of Schema
Types of Commands - DML (Manipulating data in tables)
Types of Commands - DCL (Managing Access control)
Exploring databases
Creating tables
Inserting data in tables
SELECT Statement - Introduction
Datatypes in MySQL
NULL vs NOT NULL
Exercise 3
Introduction
Update command – Concept
Update command – Example
Delete command – Concept
Delete command – Example
Describe command – Concept
Describe command – Example
Alter command – Concept and Example
Exercise 4
Introduction
Importing data from CSV to MySQL
Exporting data from MySQL to CSV
Backing up databases
Restoring databases
Exercise 5
Importing and Exporting Datasets - Troubleshooting Guide
Introduction
Counting Rows and Items
Aggregation Functions – SUM, AVG, STDDEV
Extreme Values Identification – MIN, MAX
Slicing data
Limiting data
Sorting data
Filtering Patterns
Groupings, Rolling up data and Filtering in Groups
Exercise 6
Introduction
Data Eyeballing
Data Dictionary
Questions we need answers of
Analyzing data and creating table structure
Loading data to our MySQL table
Data Analysis – Simple Queries
Data Analysis – Advanced Queries
FIFA19 Players dataset (cleaned) for this Project
Introduction
The need for joins
Different type of joins
The Left Join - Concept
The Left Join – Practical Example
The Inner Join
The Cross Join
The Right Join
The Self Join
Exercise
Introduction
Introduction to Indexing
How indexing works (basics)
Relationships
Types of Relationships
Table Constraints – PRIMARY KEY, FOREIGN KEY, UNIQUENESS and AUTO INCREMENT
Exercise
String functions - CONCAT
String functions – Case Conversion
String functions – Trimming Strings
String functions – Extracting Substrings
Date/ Time functions – Current date and time
Date/ Time functions – Extracting date and time from field
Date/ Time functions – Formatting date and time as Strings
Numeric functions
SQL CheatSheet
Exercise
Introduction
Setting up a virtual environment
Installing the required packages
Connecting to MySQL
Connecting to database table and pulling data
Querying the database- INSERT
Querying the database- DELETE
Querying the database- SEARCH
Querying the database- INDEXING
Notes and Resources
Subscribe to Data Science Newsletter and Podcast
4
March 2024: Data Exploration
Overview of Statistics
Important applications of Statistics
What is Descriptive Statistics?
Introduction to Design experiments
Introduction to Design experiments-Video
Exercise
Visualizing Data
Visualizing Data
Central tendency
Exercise
Variability
Unimodal Distribution of Data
Bimodal Distribution of Data
Normal distribution – Part 1
Normal distribution – Part 2
Z-Score
Introduction to Probability- An Overview
Principal Of Counting
Exercise
Permutation
Exercise
Combination
Exercise
Conditional Probability – Part 1
Conditional Probability – Part 2
Exercise
Binomial Distribution
Random variable
Expectation and variance
Exercise
Cheatsheet for Probability
Statistics: Inferential-Hypothesis Testing
T-test
One Way ANOVA
Chi-square
Cheatsheet on Statistics
Exploratory Data Analysis (EDA)- Data Exploration
Cheatsheet on EDA
Project-1 | Loan Prediction
Project-2 | Big Mart Sales
Linear Algebra
Free Course
5
April 2024: Basics of Machine Learning and art of storytelling
Overview of Machine Learning
Understanding Data Science Pipeline
Get Familiarised with Command Line (Linux)- Guide
Linear Regression
Linear Regression-Video
Exercise
Logistic Regression- Part 1
Logistic Regression – Part 2
Exercise
Decision Tree Algorithm
Exercise
Naive Bayes
Support Vector Machine
Regression Project - Big Mart Sales
Classification Project - Loan Prediction
Introduction to Structured Thinking
Commonly Asked Puzzles in Interviews
How to solve Guesstimates?
Excercise: Strategic Thinking
Structured Thinking and Communication Course
6
May 2024: Advanced Machine Learning
Ensemble Learning Basics
Ensemble Learning Basics-Video
Bagging
Boosting
Random Forest - Simplified
Random Forest - Detailed with implementation
Exercise
Boosting - Detailed with implementation
XGBoost
LightGBM
CatBoost
Exercise
Advanced Ensemble Technique - Blending
Advanced Ensemble Learning - Stacking
Cheatsheet for Machine Learning
Image data
Text data
Audio data
Audio data-Video
Projects
Participating in Competitions
Introduction to validation
Different Types of Validation Techniques
K-fold Cross Validation - Implementation
Summary - Validation Techniques
Exercise
Different methods for finding best hyperparameters of an algorithm
Hyperparameter tuning for Random Forest
Hyperparameter tuning for GBM
Hyperparameter tuning for XGBoost
Hyperparameter tuning for LightGBM
Bayesian Hyperparameter Optimization
Feature Engineering
Profile Building
Building your Resume
Up Level your Data Science Resume Course
Ace Data Science Interview Course
7
June 2024: Other Machine Learning Concepts
Basics of Matrix Algebra
Matrix Calculus
Dimensionality Reduction - Overview
Principal Component Analysis (PCA)
Singular Value Decomposition (SVD)
Singular Value Decomposition (SVD)-Text
Unsupervised Learning-K Means and Hierarchical Clustering
Clustering - Project
Learn Github
Introduction to Recommendation Systems
Introduction to Recommendation Systems - Video
Project: Recommendation System
Implementation in Python
Introduction to Time Series Forecasting
Handling a Non-Stationary Time Series in Python
Time Series Modeling using ARIMA
Time Series Modeling using Prophet Library
Time Series Project
Project - Black Friday
8
July 2024: Introduction to Deep Learning and Computer Vision
Setting up the System for Deep Learning
Introduction to Deep Learning
Build your first Neural Network in Numpy
Why are GPUs necessary for Deep Learning?
The Evolution and Core Concepts of Deep Learning & Neural Networks
An Introduction to Implementing Neural Networks using TensorFlow
Introduction to Keras
Optimizing Neural Networks using Keras (with Image recognition case study)
Understanding Convolutional Neural Networks (CNNs)
Build Image Classification Model using Keras
Exercise
Transfer Learning for Computer Vision
Computer Vision Project 1 : Identify the Apparels
Computer Vision Project 2: Scene Classification
Computer Vision using Deep Learning Course
Computer Vision Course (Sponsored)
Cheatsheet for Keras
Write for Analytics Vidhya's Medium Publication
9
August 2024: Basics of Natural Language Processing
Recurrent Neural Network
Long short Term Memory Networks (LSTM)
Gated Recurrent Unit (GRU)
Useful resources-GRU
Text Preprocessing
Text Cleaning
Text Classification
Natural Language Processing (NLP) Using Python Course
10
September 2024: Model Deployment
How to Deploy Machine Learning Models using Flask
Tutorial to deploy Machine Learning models in Production as APIs
Deploying machine learning models using Streamlit – An introductory guide to Model Deployment
An Ode to Model Deployment using Streamlit – Open Sourcing “Typing Tutor for Programmers”
11
October 2024: Practice and Projects
Building a Portfolio with Projects"
Nano Course: Building Large Language Models for Code,"Learn how to train Large Language Models for Code from Scratch covering each step involved in detail from training data curation to model evaluation. Deep dive into the journey of creating Starcoder, a 15B parameter code generation model.Nano Course: Building Large Language Models for Code
In this Free Nano GenAI Course on Building Large Language Models for Code, you will-

Learn how to train LLMs for Code from Scratch covering Training Data Curation, Data Preparation, Model Architecture, Training, and Evaluation Frameworks.

Explore each step in-depth, delving into the algorithms and techniques used to create StarCoder, a 15B code generation model trained on 80+ programming languages.

Understand and learn the best practices to train your own StarCoder on the data","1
Building Large Language Models for Code
Introduction
Agenda
BigCode Community
Training LLMs for Code from Scratch: Training Data Curation
Training Data Formatting and Preprocessing
Model Architecture
BigCode Ecosystem
Training Frameworks
Model Evaluation
Tools and Descendants of StarCoder"
Nano Course: Cutting Edge LLM Tricks,"Learn cutting edge LLM tricks and techniques from top research papers including DeepMind and Meta AI and apply these tricks in building your own state of the art LLMs.Nano Course: Cutting Edge LLM Tricks
In this free nano GenAI course on Cutting Edge LLM Tricks, you will-

Learn latest LLM tricks and techniques from top research papers

Apply the LLM tricks in building State-Art-Of-The-Art (SOTA) LLMs

Recap of LLM journey, building blocks of LLMs and LLM Stack.","1
Cutting Edge LLM Tricks
Introduction
Recap of LLMs
Building Blocks of LLMs
Applying LLMs in Practise
LIMA- Less is More Alignment
Distil Step by Step
Instruction BackTranslation
Textbooks are all you Need
Sycophancy-Reducing False answers
Gorilla- Helping LLMs follow APIs
ToolLLMs
Summary"
Certified AI & ML BlackBelt+ Program,"This comprehensive certified program combines the power of data science, machine learning and deep learning to help you become an AI & ML Blackbelt! Go from a complete beginner to gaining in-demand industry-relevant AI skills.","About Certified AI & ML BlackBelt+ Program
What happens when you combine ALL of Analytics Vidhya’s comprehensive courses, curated and designed by instructors with decades of data science experience? You get the AI & ML BlackBelt+ program!

There are multiple elements that go into becoming an AI expert. Data Science, Machine Learning and Deep Learning are the core components you would need in our journey to break into the wonderful world of AI applications.

AI & ML BlackBelt+ is a thoughtfully curated program designed for anyone wanting to learn data science, machine learning, deep learning in their quest to become an AI professional. It all starts here, so are you ready to take the ride?

You will get access to ALL the courses Analytics Vidhya has curated and designed as part of AI & ML Blackbelt+. What are you waiting for? Start your AI journey today!"
Machine Learning Summer Training,"n this free Machine Learning Summer Training, you will learn Python, the basics of machine learning, how to build machine learning models, and feature engineering techniques to improve the performance of your machine learning models.","If you are a college student and looking for summer training, then you are at the right place where Analytics Vidhya is providing its virtual training along with the mega hackathon for students all over the world to compete, win grand rewards and internship opportunities.

Machine Learning Summer Training is an online program to build and enhance your programming and machine learning skills, led by the best industry experts and data science professionals. After completing this training you will be provided with a blockchain enabled certificate by Analytics Vidhya with lifetime validity.

This is the perfect starting point to ignite your fledging machine learning career and take a HUGE step towards your dream data scientist role.

If you haven't enrolled in the program already, Don't wait!

What is Machine Learning?
Machine Learning is the science of teaching machines how to learn by themselves. Machine Learning is re-shaping and revolutionizing the world and disrupting industries and job functions globally. 

Machine learning is so extensive that you probably use it numerous times a day without even knowing it. From unlocking your mobile phones using your face to giving your attendance using a biometric machine, machine learning is being used in almost every stage. 

In this age of machine learning, every aspiring data scientist is expected to upskill themselves in machine learning techniques & tools and apply them in real-world business problems.

What are the applications of Machine Learning?
Now that you get the hang of it, you might be asking what are some of the examples of machine learning and how does it affect our life? Here are a few examples where we use the outcome of machine learning already:
Smartphones detecting faces while taking photos or unlocking themselves

Facebook, LinkedIn or any other social media site recommending your friends and ads you might be interested in

Amazon recommending you the products based on your browsing history

 

Banks using Machine Learning to detect Fraud transactions in real-time

What kind of problems can be solved using Machine Learning?
Machine Learning problems can be divided into 3 broad classes:

Supervised Machine Learning

Unsupervised Machine Learning

Reinforcement Learning

Here is an illustration of these different machine learning problems:









Supervised Machine Learning: When you have past data with outcomes (labels in machine learning terminology) and you want to predict the outcomes for the future – you would use Supervised Machine Learning algorithms. Supervised Machine Learning problems can again be divided into 2 kinds of problems:
Classification Problems: When you want to classify outcomes into different classes. For example – whether a customer would default on their loan or not is a classification problem which is of high interest to any Bank
Regression Problem: When you are interested in answering how much – these problems would fall under the Regression umbrella. For example – what is the expected amount of default from a customer is a Regression problem

Unsupervised Machine Learning: There are times when you don’t want to exactly predict an Outcome. You just want to perform a segmentation or clustering. For example – a bank would want to have a segmentation of its customers to understand their behavior. This is an Unsupervised Machine Learning problem as we are not predicting any outcomes here.

Reinforcement Learning: It is said to be the hope of true artificial intelligence. And it is rightly said so because the potential that Reinforcement Learning possesses is immense. It is a slightly complex topic as compared to traditional machine learning but an equally crucial one for the future.
What will I learn from this course?
Python libraries like Numpy, Pandas, etc. to analyze your data efficiently.

Importance of Statistics and Exploratory Data Analysis (EDA) in the data science field.

Linear Regression, Logistic Regression, and Decision Trees for building machine learning models.

Understand how to solve Classification and Regression problems using machine learning

How to evaluate your machine learning models using the right evaluation metrics?

Improve and enhance your machine learning model’s accuracy through feature engineering

Prerequisites for the Machine Learning Summer Training
This course requires no prior knowledge about Data Science or any tool.

Machine Learning Summer Training Syllabus
In this machine learning summer training, we will be covering the following topics:

Python for Data Science
Importance of Statistics and EDA
Basics of Machine Learning
Evaluation Metrics for Machine Learning models
Feature Engineering techniques


Tools Covered in this Course






Projects covered in this course
1. Customer Churn Prediction
A Bank wants to take care of customer retention for their product: savings accounts. The bank wants you to identify customers likely to churn balances below the minimum balance in the next quarter. You have the customers information such as age, gender, demographics along with their transactions with the bank. Your task as a data scientist would be to predict the propensity to churn for each customer.
Projects covered in this course
2. NYC Taxi Trip Duration Prediction
Uber, Lyft, Ola and many more online ride hailing services are trying hard to use their extensive data to create data products such as pricing engines, driver allotment etc. To improve the efficiency of taxi dispatching systems for such services, it is important to be able to predict how long a driver will have his taxi occupied or in other words the trip duration. This project will cover techniques to extract important features and accurately predict trip duration for taxi trips in New York using data from TLC commission New York."
